CommunityAreaNumber,CommunityAreaName,TeenBirths1999,TeenBirthRate1999,TeenBirths2000,TeenBirthRate2000,TeenBirths2001,TeenBirthRate2001,TeenBirths2002,TeenBirthRate2002,TeenBirths2003,TeenBirthRate2003,TeenBirths2004,TeenBirthRate2004,TeenBirths2005,TeenBirthRate2005,TeenBirths2006,TeenBirthRate2006,TeenBirths2007,TeenBirthRate2007,TeenBirths2008,TeenBirthRate2008,TeenBirths2009,TeenBirthRate2009
58,Brighton Park,157,86.5,174,95.8,188,103.2,172,94.2,157,85.8,145,79,155,84.2,136,73.7,144,77.8,146,78.7,108,58.1
59,McKinley Park,48,79.2,38,62.7,36,59.9,52,87.1,36,60.8,38,64.7,19,32.6,31,53.6,37,64.6,26,45.8,27,47.9
60,Bridgeport,61,60.5,59,58.5,46,45.9,38,38.2,36,36.4,40,40.7,41,42,37,38.1,33,34.2,36,37.6,27,28.4
61,New City,272,121.2,260,115.9,242,108.7,225,101.8,203,92.6,213,97.9,181,83.9,214,100,212,99.8,227,107.8,197,94.3
62,West Elsdon,32,58.9,26,47.9,29,52,24,41.8,36,61.1,29,47.9,32,51.6,36,56.7,44,67.6,38,57.1,31,45.5
63,Gage Park,121,71.9,155,92.2,151,88.8,167,97.3,139,80.1,161,91.9,129,72.9,141,78.9,160,88.6,139,76.3,113,61.4
64,Clearing,22,34.6,27,42.5,24,37,20,30.3,19,28.2,22,32,23,32.9,21,29.5,28,38.6,37,50.1,29,38.7
65,West Lawn,50,46.1,58,53.5,60,54.2,51,45.1,58,50.2,65,55.1,64,53.1,71,57.8,86,68.6,86,67.3,58,44.6
66,Chicago Lawn,277,100.1,267,96.5,232,84.3,282,103.1,236,86.8,219,81,224,83.3,242,90.5,233,87.7,259,98,177,67.4
67,West Englewood,273,129.8,240,114.1,300,144.6,237,116,211,104.8,226,114,212,108.6,208,108.3,227,120,202,108.6,214,116.9
68,Englewood,242,136.3,257,144.7,241,137.2,225,129.6,182,106.1,181,106.7,162,96.7,205,123.9,193,118,174,107.7,168,105.3
69,Greater Grand Crossing,163,116.6,140,100.1,139,99.3,121,86.4,126,89.8,117,83.3,116,82.5,120,85.3,151,107.2,126,89.4,119,84.3
70,Ashburn,67,46,61,41.9,73,49.4,76,50.7,66,43.4,71,46.1,81,51.9,79,50,77,48.1,71,43.7,63,38.3
71,Auburn Gresham,230,107.6,195,91.2,177,82.7,148,69,171,79.6,154,71.6,168,78,177,82.1,191,88.4,148,68.4,180,83.1
72,Beverly,21,27.5,10,13.1,10,13.3,13,17.5,6,8.2,7,9.7,7,9.8,11,15.7,7,10.1,9,13.2,8,11.9
73,Washington Heights,100,96.6,86,83.1,52,49.9,67,63.7,65,61.4,53,49.7,73,67.9,66,60.9,87,79.7,69,62.8,72,65
74,Mount Greenwood,16,25.6,12,19.2,5,7.8,2,3,4,5.9,4,5.8,3,4.2,6,8.2,5,6.7,5,6.6,6,7.7
75,Morgan Park,55,59.4,46,49.7,49,52.7,49,52.5,44,46.9,43,45.6,44,46.5,45,47.3,46,48.2,39,40.7,45,46.7
76,O'Hare,8,42.3,7,37,3,15.9,3,15.9,2,10.6,1,5.3,3,15.9,4,21.2,11,58.2,3,15.9,3,15.9
77,Edgewater,77,42.8,73,40.6,76,42.7,53,30,42,24,43,24.8,39,22.7,37,21.7,41,24.3,31,18.6,25,15.1
